ministry_name,start_order,end_order,start_gaz,end_gaz,name_clean
ministry of rural areas & employment,"Wednesday, 8 March 1995","Friday, 9 April 1999","Wednesday, 8 March 1995","Friday, 9 April 1999",rural areas & employment
ministry of urban affairs & employment,"Wednesday, 8 March 1995","Friday, 9 April 1999","Wednesday, 8 March 1995","Friday, 9 April 1999",urban affairs & employment
ministry of food & consumer affairs,"Wednesday, 4 June 1997","Friday, 15 October 1999","Thursday, 5 June 1997","Friday, 15 October 1999",food & consumer affairs
ministry of social justice & empowerment,"Saturday, 23 May 1998",13-03-2020,"Tuesday, 26 May 1998",13-03-2020,social justice & empowerment
"ministry of culture, youth affairs & sports","Friday, 15 October 1999","Saturday, 27 May 2000","Friday, 15 October 1999","Saturday, 27 May 2000","culture, youth affairs & sports"
ministry of consumer affairs & public distribution,"Friday, 15 October 1999","Monday, 17 July 2000","Friday, 15 October 1999","Wednesday, 19 July 2000",consumer affairs & public distribution
ministry of heavy industries & public enterprises,"Friday, 15 October 1999",13-03-2020,"Friday, 15 October 1999",13-03-2020,heavy industries & public enterprises
ministry of information technology,"Friday, 15 October 1999","Friday, 21 December 2001","Friday, 15 October 1999","Friday, 21 December 2001",information technology
ministry of mines & minerals,"Friday, 15 October 1999","Saturday, 27 May 2000","Friday, 15 October 1999","Saturday, 27 May 2000",mines & minerals
ministry of small scale industries and agro & rural industries,"Friday, 15 October 1999","Thursday, 6 September 2001","Friday, 15 October 1999","Thursday, 6 September 2001",small scale industries & agro & rural industries
ministry of statistics and programme implementation,"Friday, 15 October 1999",13-03-2020,"Friday, 15 October 1999",13-03-2020,statistics & programme implementation
ministry of tribal affairs,"Friday, 15 October 1999",13-03-2020,"Friday, 15 October 1999",13-03-2020,tribal affairs
ministry of urban employment & poverty alleviation,"Friday, 15 October 1999","Tuesday, 6 January 2004","Friday, 15 October 1999","Tuesday, 6 January 2004",urban employment & poverty alleviation
ministry of urban employment & poverty alleviation,"Thursday, 27 May 2004","Thursday, 1 June 2006","Thursday, 27 May 2004","Friday, 2 June 2006",urban employment & poverty alleviation
department of disinvestment,"Friday, 10 December 1999","Thursday, 6 September 2001","Friday, 10 December 1999","Thursday, 6 September 2001",disinvestment
ministry of tourism & culture,"Saturday, 27 May 2000","Thursday, 6 September 2001","Saturday, 27 May 2000","Thursday, 6 September 2001",tourism & culture
ministry of tourism & culture,"Friday, 21 December 2001","Thursday, 27 May 2004","Friday, 21 December 2001","Thursday, 27 May 2004",tourism & culture
ministry of tourism & culture,"Thursday, 16 February 2006","Thursday, 1 June 2006","Thursday, 16 February 2006","Friday, 2 June 2006",tourism & culture
ministry of youth affairs & sports,"Monday, 8 December 2014",13-03-2020,"Tuesday, 9 December 2014",13-03-2020,youth affairs & sports
ministry of youth affairs & sports,"Saturday, 27 May 2000","Thursday, 31 July 2014","Saturday, 27 May 2000","Friday, 1 August 2014",youth affairs & sports
"ministry of consumer affairs, food & public distribution","Monday, 17 July 2000",13-03-2020,"Wednesday, 19 July 2000",13-03-2020,"consumer affairs, food & public distribution"
