row_id,ls_number,NAME,GENDER,PARTY,DEPARTMENT,RANK,RANK_COMMENT,appointment_begin,appointment_end,HOUSE,CONSTITUENCY,STATE,ministry_name,ministry_category,ministry_category2,comments,pid,start_source,end_source,appointment_begin_in_datetime,appointment_end_in_datetime,appointment_difference_in_years,starting_year,end_year,list_of_years
2067,6,Dhanna Singh Gulshan,M,AkaliDal,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,BHATINDA,Punjab,education & social welfare,education,social welfare,,6_Punjab_11_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2068,6,Dhanna Singh Gulshan,M,AkaliDal,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,BHATINDA,Punjab,culture,culture,,,6_Punjab_11_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2069,6,Jagbir Singh,M,JLD,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Tuesday, 11 July 1978",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,information & broadcasting,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1978-07-11,0.9062472193131961,1977-01-01,1978-01-01,"1978,"
2070,6,Jagbir Singh,M,JLD,,MoS,NOT_APPLICABLE,"Friday, 26 January 1979","Sunday, 15 July 1979",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,information & broadcasting,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication,1979-01-26,1979-07-15,0.4654441911880463,1979-01-01,1979-01-01,
2071,6,Jagbir Singh,M,JLD,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Monday, 14 January 1980",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1980-01-14,0.4599683771740693,1979-01-01,1980-01-01,"1980,"
2072,6,M V Krishnappa,M,INC,,MoS,NOT_APPLICABLE,"Saturday, 4 August 1979","Monday, 14 January 1980",Lok Sabha,CHIKBALLAPUR,Karnataka,agriculture & irrigation,agriculture,"irrigation, power & energy",,6_Karnataka_9_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-08-04,1980-01-14,0.4462788421391267,1979-01-01,1980-01-01,"1980,"
2073,6,Samarendra Kundu,M,JD,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,BALASORE,Odisha,external affairs,external affairs,,,6_Odisha_2_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2074,6,Kumari Abha Malti,F,JP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,PANSKURA,West_Bengal,industry,"commerce, industry, civil supplies",,,6_West_Bengal_29_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2075,6,Dhanik Lal Mandal,M,Janata(S),,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Sunday, 15 July 1979",Lok Sabha,JHANJHARPUR,Bihar,home affairs,home affairs,,,6_Bihar_14_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-15,1.9165349048919553,1977-01-01,1979-01-01,"1978,1979,"
2076,6,Dhanik Lal Mandal,M,Janata(S),,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Monday, 14 January 1980",Lok Sabha,JHANJHARPUR,Bihar,home affairs,home affairs,,,6_Bihar_14_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1980-01-14,0.4599683771740693,1979-01-01,1980-01-01,"1980,"
2077,6,S D Patil,M,not_applicable,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",not_applicable,not_applicable,not_applicable,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2078,6,S D Patil,M,not_applicable,,MoS,NOT_APPLICABLE,"Tuesday, 20 February 1979","Saturday, 28 July 1979",not_applicable,not_applicable,not_applicable,"law, justice & company affairs",law & justice,,,,Council of Ministers Publication,Council of Ministers Publication,1979-02-20,1979-07-28,0.4325893071041842,1979-01-01,1979-01-01,
2079,6,P Ankineedu Prasad Rao,M,INC,,MoS,NOT_APPLICABLE,"Saturday, 4 August 1979","Tuesday, 27 November 1979",Lok Sabha,BAPATLA,Andhra_Pradesh,tourism & civil aviation,"transport: shipping, railways, civil aviation, tourism",,,6_Andhra_Pradesh_16_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-08-04,1979-11-27,0.3148593058036784,1979-01-01,1979-01-01,
2080,6,Saugata Roy,M,INC,,MoS,NOT_APPLICABLE,"Saturday, 4 August 1979","Monday, 14 January 1980",Lok Sabha,BARRACKPORE,West_Bengal,"petroleum, chemicals & fertilisers","steel, coal, mines, oil, petrol, chemicals, fertilizers",,,6_West_Bengal_19_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-08-04,1980-01-14,0.4462788421391267,1979-01-01,1980-01-01,"1980,"
2081,6,Larang Sai,M,BJP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,SURGUJA,Madhya_Pradesh,labour,"labour, employment, rehabilitation",,,6_Madhya_Pradesh_12_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2082,6,Larang Sai,M,BJP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,SURGUJA,Madhya_Pradesh,parliamentary affairs,parliamentary affairs,,,6_Madhya_Pradesh_12_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2083,6,Narhari Prasad Sukhdeo Sai,M,JP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,RAIGARH,Madhya_Pradesh,communications,"electronics, information technology & communications",,,6_Madhya_Pradesh_13_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2084,6,Sheo Narain,M,JP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,BASTI,Uttar_Pradesh,railways,"transport: shipping, railways, civil aviation, tourism",,,6_Uttar_Pradesh_34_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2085,6,Sher Singh,M,JP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,ROHTAK,Haryana,defence,defence,,,6_Haryana_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2086,6,Sher Singh,M,JP,atomic energy,MoS,NOT_APPLICABLE,"Saturday, 24 March 1979","Saturday, 28 July 1979",Lok Sabha,ROHTAK,Haryana,atomic energy,atomic energy,,,6_Haryana_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-03-24,1979-07-28,0.344976282880552,1979-01-01,1979-01-01,
2087,6,Sher Singh,M,JP,,MoS,NOT_APPLICABLE,"Saturday, 24 March 1979","Saturday, 28 July 1979",Lok Sabha,ROHTAK,Haryana,electronics,"electronics, information technology & communications",,,6_Haryana_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-03-24,1979-07-28,0.344976282880552,1979-01-01,1979-01-01,
2088,6,Sher Singh,M,JP,,MoS,NOT_APPLICABLE,"Saturday, 24 March 1979","Saturday, 28 July 1979",Lok Sabha,ROHTAK,Haryana,science & technology,scientific research,,,6_Haryana_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-03-24,1979-07-28,0.344976282880552,1979-01-01,1979-01-01,
2089,6,Sher Singh,M,JP,,MoS,NOT_APPLICABLE,"Saturday, 24 March 1979","Saturday, 28 July 1979",Lok Sabha,ROHTAK,Haryana,space,"earth, ocean, space",,,6_Haryana_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-03-24,1979-07-28,0.344976282880552,1979-01-01,1979-01-01,
2090,6,T S Shragare,M,INC,,MoS,NOT_APPLICABLE,"Tuesday, 31 July 1979","Monday, 14 January 1980",Lok Sabha,OSMANABAD,Maharashtra,communications,"electronics, information technology & communications",,,6_Maharashtra_36_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-31,1980-01-14,0.4572304701670808,1979-01-01,1980-01-01,"1980,"
2091,6,Bhanu Pratap Singh,M,BLD,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Sunday, 15 July 1979",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,agriculture & irrigation,agriculture,"irrigation, power & energy",,,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-15,1.9165349048919553,1977-01-01,1979-01-01,"1978,1979,"
2092,6,Ram Kripal Sinha,M,JS,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Rajya Sabha,NOT_APPLICABLE,Bihar,labour,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2093,6,Ram Kripal Sinha,M,JS,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Rajya Sabha,NOT_APPLICABLE,Bihar,parliamentary affairs,parliamentary affairs,,,,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2094,6,Jagdambi Prasad Yadav,M,BJP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Friday, 26 January 1979",Lok Sabha,GODDA,Bihar,health & family welfare,health,,,6_Bihar_28_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-01-26,1.451090713703909,1977-01-01,1979-01-01,"1978,1979,"
2095,6,Jagdambi Prasad Yadav,M,BJP,,MoS,NOT_APPLICABLE,"Friday, 26 January 1979","Saturday, 28 July 1979",Lok Sabha,GODDA,Bihar,industry,"commerce, industry, civil supplies",,,6_Bihar_28_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-01-26,1979-07-28,0.5010369822788969,1979-01-01,1979-01-01,
2096,6,Narsing Yadav,M,JP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Tuesday, 11 July 1978",Lok Sabha,CHANDAULI,Uttar_Pradesh,"law, justice & company affairs",law & justice,,,6_Uttar_Pradesh_51_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1978-07-11,0.9062472193131961,1977-01-01,1978-01-01,"1978,"
2097,6,Narsing Yadav,M,JP,,MoS,NOT_APPLICABLE,"Friday, 26 January 1979","Sunday, 15 July 1979",Lok Sabha,CHANDAULI,Uttar_Pradesh,"petroleum, chemicals & fertilisers","steel, coal, mines, oil, petrol, chemicals, fertilizers",,,6_Uttar_Pradesh_51_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-01-26,1979-07-15,0.4654441911880463,1979-01-01,1979-01-01,
2098,6,Narsing Yadav,M,JP,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Monday, 14 January 1980",Lok Sabha,CHANDAULI,Uttar_Pradesh,communications,"electronics, information technology & communications",,,6_Uttar_Pradesh_51_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1980-01-14,0.4599683771740693,1979-01-01,1980-01-01,"1980,"
2099,6,Zulfiquarullah,M,JP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Sunday, 15 July 1979",Lok Sabha,SULTANPUR,Uttar_Pradesh,finance,finance,,,6_Uttar_Pradesh_26_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-15,1.9165349048919553,1977-01-01,1979-01-01,"1978,1979,"
2100,6,Zulfiquarullah,M,JP,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Tuesday, 4 December 1979",Lok Sabha,SULTANPUR,Uttar_Pradesh,communications,"electronics, information technology & communications",,,6_Uttar_Pradesh_26_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1979-12-04,0.3477141898875405,1979-01-01,1979-01-01,
2101,6,Zulfiquarullah,M,JP,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Tuesday, 4 December 1979",Lok Sabha,SULTANPUR,Uttar_Pradesh,muslim waqfs,"women, social justice, minority, tribal affairs",,exception: exact ministry not in gazettes,6_Uttar_Pradesh_26_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1979-12-04,0.3477141898875405,1979-01-01,1979-01-01,
2102,6,H R Khanna,M,not_applicable,,CM,NOT_APPLICABLE,"Monday, 30 July 1979","Friday, 3 August 1979",not_applicable,not_applicable,not_applicable,law & justice,law & justice,,exception: ministry out of gazette date range,,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1979-08-03,0.010951628027954031,1979-01-01,1979-01-01,
